"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"NCAM2",0,2.94982492082435,0.768,0.336,0,"0","NCAM2"
"LUZP2",0,2.83244673630136,0.737,0.354,0,"0","LUZP2"
"NAALADL2",0,3.79583558655995,0.75,0.374,0,"0","NAALADL2"
"SEMA3C",0,2.30589821972023,0.627,0.254,0,"0","SEMA3C"
"PRKD1",0,2.36431536354436,0.724,0.381,0,"0","PRKD1"
"MIR99AHG",0,2.09998972052942,0.741,0.4,0,"0","MIR99AHG"
"PPM1H",0,3.63371040041488,0.615,0.283,0,"0","PPM1H"
"GNAI1",3.62701429949346e-298,0.26176798655553,0.598,0.229,1.08810428984804e-294,"0","GNAI1"
"IMMP2L",3.85848810446698e-297,3.30375502521668,0.686,0.372,1.15754643134009e-293,"0","IMMP2L"
"PPFIA2",1.13574672445198e-283,1.1100487276328,0.694,0.383,3.40724017335594e-280,"0","PPFIA2"
"EPHA6",1.22618253265823e-277,1.94439855834079,0.599,0.289,3.67854759797468e-274,"0","EPHA6"
"STXBP5L",6.61522653739183e-269,1.58448779679635,0.699,0.387,1.98456796121755e-265,"0","STXBP5L"
"NIHCOLE",6.66897884811641e-252,0.511816429534365,0.673,0.379,2.00069365443492e-248,"0","NIHCOLE"
"SESN3",2.59942292795651e-228,3.3569979540964,0.591,0.291,7.79826878386952e-225,"0","SESN3"
"ANK3",4.46236255162848e-220,1.15368769077121,0.63,0.361,1.33870876548854e-216,"0","ANK3"
"FBXL17",5.20775616065956e-203,2.467559971088,0.645,0.376,1.56232684819787e-199,"0","FBXL17"
"NRXN1",2.85298757104879e-201,2.62718514838353,0.341,0.138,8.55896271314637e-198,"0","NRXN1"
"USP54",3.07851773521499e-201,1.35457213360844,0.646,0.395,9.23555320564496e-198,"0","USP54"
"ENSG00000231918",7.9806892593128e-201,5.62290812726028,0.489,0.189,2.39420677779384e-197,"0","ENSG00000231918"
"PCDH15",2.99433208617323e-183,3.1713770320505,0.508,0.207,8.98299625851968e-180,"0","PCDH15"
"RDH10",1.17365075358135e-182,1.67696556649594,0.439,0.244,3.52095226074405e-179,"0","RDH10"
"MALAT1",1.77442021172029e-177,0.915286556501462,0.683,0.438,5.32326063516088e-174,"0","MALAT1"
"SMYD3",4.89087791196592e-176,1.16500078565682,0.675,0.428,1.46726337358978e-172,"0","SMYD3"
"NETO1",2.47893437179361e-174,1.57358197125395,0.607,0.361,7.43680311538083e-171,"0","NETO1"
"ENSG00000236230",9.03705293844666e-172,2.63571259093331,0.455,0.193,2.711115881534e-168,"0","ENSG00000236230"
"SOX4",1.21115251185789e-167,2.64546062942519,0.522,0.292,3.63345753557366e-164,"0","SOX4"
"FHIT",2.07329267217723e-160,1.33127144608431,0.597,0.364,6.21987801653169e-157,"0","FHIT"
"VPS13B",1.48007454230428e-158,2.65721663569477,0.605,0.376,4.44022362691284e-155,"0","VPS13B"
"NLGN1",3.6402023254293e-158,1.37365466195786,0.573,0.34,1.09206069762879e-154,"0","NLGN1"
"MID1",4.10602612596613e-155,0.856588647334869,0.555,0.288,1.23180783778984e-151,"0","MID1"
"ENSG00000223930",3.30696656370993e-150,2.86171289265492,0.346,0.142,9.92089969112979e-147,"0","ENSG00000223930"
"MYRIP",2.86983121072763e-147,2.02308330155111,0.553,0.333,8.60949363218288e-144,"0","MYRIP"
"MARCKSL1",3.00113000351859e-145,1.38864798460616,0.605,0.398,9.00339001055576e-142,"0","MARCKSL1"
"STAU2",2.53852918379818e-143,5.00443269219011,0.579,0.36,7.61558755139453e-140,"0","STAU2"
"MAML3",2.62547059109471e-140,1.56933947600029,0.598,0.384,7.87641177328414e-137,"0","MAML3"
"ENSG00000225258",6.97313661348723e-138,2.48672186154098,0.601,0.372,2.09194098404617e-134,"0","ENSG00000225258"
"TTC6",7.45768443991551e-134,1.23795261480873,0.611,0.386,2.23730533197465e-130,"0","TTC6"
"PDE4D",1.09245662236062e-133,0.804050464774117,0.515,0.315,3.27736986708186e-130,"0","PDE4D"
"NKX3-1",2.51098368304421e-129,4.29753745201717,0.417,0.253,7.53295104913263e-126,"0","NKX3-1"
"RDH11",4.00046753503236e-128,2.61194049846321,0.585,0.374,1.20014026050971e-124,"0","RDH11"
"RPL7",9.10324897434945e-128,2.14871647225096,0.641,0.437,2.73097469230483e-124,"0","RPL7"
"FBXL7",1.2835075798479e-126,1.34402087391098,0.591,0.318,3.8505227395437e-123,"0","FBXL7"
"EFNA5",3.72252306196943e-124,0.644889957857998,0.551,0.339,1.11675691859083e-120,"0","EFNA5"
"CRTC3-AS1",4.0750249055241e-124,2.41511136645323,0.355,0.24,1.22250747165723e-120,"0","CRTC3-AS1"
"SLC45A2",1.47873359876287e-116,1.00200078070639,0.351,0.164,4.43620079628862e-113,"0","SLC45A2"
"KCNQ5",1.93457326115571e-114,2.38340535722716,0.323,0.195,5.80371978346714e-111,"0","KCNQ5"
"LINC02726",1.17901333172367e-113,2.22046931926435,0.347,0.205,3.53703999517102e-110,"0","LINC02726"
"BACE2",2.46311392300882e-112,0.991495028370746,0.299,0.144,7.38934176902646e-109,"0","BACE2"
"KALRN",9.93187304467494e-112,4.06297003135127,0.468,0.255,2.97956191340248e-108,"0","KALRN"
"MBD5",7.54408245343335e-111,1.22915987057143,0.591,0.395,2.26322473603001e-107,"0","MBD5"
"CRACD",8.81591713726638e-111,0.724996295305097,0.499,0.323,2.64477514117991e-107,"0","CRACD"
"LINC02614",8.40255900405239e-108,3.0719421110404,0.544,0.354,2.52076770121572e-104,"0","LINC02614"
"ARHGEF10",3.05824596060694e-107,1.88662294493391,0.519,0.354,9.17473788182081e-104,"0","ARHGEF10"
"EXOC4",6.38439933759914e-106,0.266688344053156,0.601,0.406,1.91531980127974e-102,"0","EXOC4"
"GRB10",8.73360188324032e-105,1.92225901303272,0.549,0.339,2.6200805649721e-101,"0","GRB10"
"EVL",3.70220604711058e-104,1.9120991663106,0.548,0.377,1.11066181413318e-100,"0","EVL"
"LPP",3.58918054956559e-101,0.638848576513617,0.619,0.428,1.07675416486968e-97,"0","LPP"
"MIPOL1",2.48939426683689e-100,2.00238333139937,0.568,0.386,7.46818280051068e-97,"0","MIPOL1"
"DSEL",4.29540312750883e-100,3.36768274749277,0.45,0.247,1.28862093825265e-96,"0","DSEL"
"PITX1",1.04482004198069e-99,1.0522877035065,0.547,0.38,3.13446012594206e-96,"0","PITX1"
